model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3206,1e-05,1e-06,0.25,-0.25,0.02,0.0040753,0.02244,nSEG,1,LIDAR,0.014924699999999999,0.17756,0.7855105263157894,0.8877999999999999,0.8366552631578947
M3207,1e-05,1e-06,0.25,-0.25,0.03,0.0040687,0.02859,nSEG,1,LIDAR,0.0149313,0.17141,0.7858578947368421,0.85705,0.821453947368421
M3208,1e-05,1e-06,0.25,-0.25,0.035,0.0040658,0.03135,nSEG,1,LIDAR,0.0149342,0.16865000000000002,0.7860105263157895,0.84325,0.8146302631578948
M3209,1e-05,1e-06,0.25,-0.25,0.04,0.004063,0.03395,nSEG,1,LIDAR,0.014936999999999999,0.16605,0.7861578947368421,0.8302499999999999,0.808203947368421
M3210,1e-05,1e-06,0.25,-0.25,0.05,0.0040578,0.03879,nSEG,1,LIDAR,0.0149422,0.16121000000000002,0.7864315789473684,0.80605,0.7962407894736843
M3211,1e-05,1e-06,0.25,0.0,0.02,0.0040764,0.02059,nSEG,1,LIDAR,0.014923599999999999,0.17941000000000001,0.7854526315789473,0.89705,0.8412513157894737
M3212,1e-05,1e-06,0.25,0.0,0.03,0.0040701,0.02623,nSEG,1,LIDAR,0.0149299,0.17377,0.7857842105263158,0.86885,0.8273171052631578
M3213,1e-05,1e-06,0.25,0.0,0.035,0.0040673,0.02876,nSEG,1,LIDAR,0.0149327,0.17124,0.7859315789473684,0.8562,0.8210657894736841
M3214,1e-05,1e-06,0.25,0.0,0.04,0.0040646,0.03115,nSEG,1,LIDAR,0.0149354,0.16885,0.7860736842105264,0.84425,0.8151618421052631
M3215,1e-05,1e-06,0.25,0.0,0.05,0.0040597,0.03559,nSEG,1,LIDAR,0.0149403,0.16441,0.7863315789473685,0.82205,0.8041907894736842
M3216,1e-05,1e-06,0.25,0.25,0.02,0.0040772,0.01926,nSEG,1,LIDAR,0.0149228,0.18074,0.7854105263157894,0.9037000000000001,0.8445552631578948
M3217,1e-05,1e-06,0.25,0.25,0.03,0.0040711,0.02454,nSEG,1,LIDAR,0.014928899999999998,0.17546,0.7857315789473683,0.8773,0.8315157894736842
M3218,1e-05,1e-06,0.25,0.25,0.035,0.0040684,0.02691,nSEG,1,LIDAR,0.0149316,0.17309000000000002,0.7858736842105263,0.86545,0.8256618421052632
M3219,1e-05,1e-06,0.25,0.25,0.04,0.0040658,0.02914,nSEG,1,LIDAR,0.0149342,0.17086,0.7860105263157895,0.8543000000000001,0.8201552631578948
M3220,1e-05,1e-06,0.25,0.25,0.05,0.0040611,0.03329,nSEG,1,LIDAR,0.0149389,0.16671000000000002,0.7862578947368422,0.8335500000000001,0.8099039473684211
M3221,1e-05,1e-06,0.25,0.5,0.02,0.0040778,0.01823,nSEG,1,LIDAR,0.0149222,0.18177000000000001,0.7853789473684211,0.90885,0.8471144736842106
M3222,1e-05,1e-06,0.25,0.5,0.03,0.0040719,0.02324,nSEG,1,LIDAR,0.0149281,0.17676,0.7856894736842105,0.8837999999999999,0.8347447368421053
M3223,1e-05,1e-06,0.25,0.5,0.035,0.0040692,0.02548,nSEG,1,LIDAR,0.0149308,0.17452,0.7858315789473684,0.8726,0.8292157894736842
M3224,1e-05,1e-06,0.25,0.5,0.04,0.0040667,0.02759,nSEG,1,LIDAR,0.0149333,0.17241,0.7859631578947369,0.86205,0.8240065789473685
M3225,1e-05,1e-06,0.25,0.5,0.05,0.0040621,0.03152,nSEG,1,LIDAR,0.0149379,0.16848000000000002,0.7862052631578947,0.8424,0.8143026315789474
M3226,1e-05,1e-06,0.5,-0.5,0.02,0.0040742,0.02534,nSEG,1,LIDAR,0.0149258,0.17466,0.7855684210526316,0.8733,0.8294342105263157
M3227,1e-05,1e-06,0.5,-0.5,0.03,0.0040673,0.03229,nSEG,1,LIDAR,0.0149327,0.16771000000000003,0.7859315789473684,0.8385500000000001,0.8122407894736843
M3228,1e-05,1e-06,0.5,-0.5,0.035,0.0040642,0.0354,nSEG,1,LIDAR,0.014935799999999999,0.16460000000000002,0.7860947368421052,0.8230000000000001,0.8045473684210527
M3229,1e-05,1e-06,0.5,-0.5,0.04,0.0040613,0.03833,nSEG,1,LIDAR,0.0149387,0.16167,0.7862473684210526,0.80835,0.7972986842105263
M3230,1e-05,1e-06,0.5,-0.5,0.05,0.0040559,0.04379,nSEG,1,LIDAR,0.014944099999999998,0.15621000000000002,0.7865315789473684,0.78105,0.7837907894736842
M3231,1e-05,1e-06,0.5,-0.25,0.02,0.0040759,0.02244,nSEG,1,LIDAR,0.0149241,0.17756,0.785478947368421,0.8877999999999999,0.8366394736842104
M3232,1e-05,1e-06,0.5,-0.25,0.03,0.0040695,0.0286,nSEG,1,LIDAR,0.0149305,0.1714,0.7858157894736842,0.857,0.8214078947368422
M3233,1e-05,1e-06,0.5,-0.25,0.035,0.0040666,0.03135,nSEG,1,LIDAR,0.0149334,0.16865000000000002,0.7859684210526315,0.84325,0.8146092105263159
M3234,1e-05,1e-06,0.5,-0.25,0.04,0.0040639,0.03396,nSEG,1,LIDAR,0.0149361,0.16604000000000002,0.7861105263157895,0.8302,0.8081552631578948
M3235,1e-05,1e-06,0.5,-0.25,0.05,0.0040588,0.03879,nSEG,1,LIDAR,0.014941199999999998,0.16121000000000002,0.786378947368421,0.80605,0.7962144736842105
M3236,1e-05,1e-06,0.5,0.0,0.02,0.004077,0.02059,nSEG,1,LIDAR,0.014922999999999999,0.17941000000000001,0.7854210526315789,0.89705,0.8412355263157895
M3237,1e-05,1e-06,0.5,0.0,0.03,0.0040708,0.02624,nSEG,1,LIDAR,0.0149292,0.17376000000000003,0.7857473684210526,0.8688000000000001,0.8272736842105264
M3238,1e-05,1e-06,0.5,0.0,0.035,0.0040681,0.02877,nSEG,1,LIDAR,0.0149319,0.17123000000000002,0.7858894736842106,0.8561500000000001,0.8210197368421053
M3239,1e-05,1e-06,0.5,0.0,0.04,0.0040655,0.03116,nSEG,1,LIDAR,0.0149345,0.16884000000000002,0.7860263157894737,0.8442000000000001,0.8151131578947368
M3240,1e-05,1e-06,0.5,0.0,0.05,0.0040607,0.03559,nSEG,1,LIDAR,0.014939299999999999,0.16441,0.7862789473684211,0.82205,0.8041644736842105
M3241,1e-05,1e-06,0.5,0.25,0.02,0.0040777,0.01926,nSEG,1,LIDAR,0.0149223,0.18074,0.7853842105263158,0.9037000000000001,0.8445421052631579
M3242,1e-05,1e-06,0.5,0.25,0.03,0.0040718,0.02454,nSEG,1,LIDAR,0.014928199999999999,0.17546,0.7856947368421052,0.8773,0.8314973684210526
M3243,1e-05,1e-06,0.5,0.25,0.035,0.0040692,0.02691,nSEG,1,LIDAR,0.0149308,0.17309000000000002,0.7858315789473684,0.86545,0.8256407894736842
M3244,1e-05,1e-06,0.5,0.25,0.04,0.0040667,0.02914,nSEG,1,LIDAR,0.0149333,0.17086,0.7859631578947369,0.8543000000000001,0.8201315789473684
M3245,1e-05,1e-06,0.5,0.25,0.05,0.004062,0.0333,nSEG,1,LIDAR,0.014938,0.16670000000000001,0.7862105263157895,0.8335,0.8098552631578948
M3246,1e-05,1e-06,0.5,0.5,0.02,0.0040783,0.01824,nSEG,1,LIDAR,0.0149217,0.18176,0.7853526315789474,0.9087999999999999,0.8470763157894736
M3247,1e-05,1e-06,0.5,0.5,0.03,0.0040726,0.02324,nSEG,1,LIDAR,0.0149274,0.17676,0.7856526315789474,0.8837999999999999,0.8347263157894736
M3248,1e-05,1e-06,0.5,0.5,0.035,0.00407,0.02548,nSEG,1,LIDAR,0.014929999999999999,0.17452,0.7857894736842105,0.8726,0.8291947368421053
M3249,1e-05,1e-06,0.5,0.5,0.04,0.0040676,0.0276,nSEG,1,LIDAR,0.014932399999999998,0.1724,0.7859157894736841,0.862,0.823957894736842
M3250,1e-05,1e-06,0.5,0.5,0.05,0.0040631,0.03153,nSEG,1,LIDAR,0.0149369,0.16847,0.7861526315789473,0.84235,0.8142513157894737
M3251,1e-05,5.5e-06,-0.5,-0.5,0.02,0.0093171,0.04161,nSEG,1,LIDAR,0.0096829,0.15839,0.5096263157894737,0.7919499999999999,0.6507881578947368
M3252,1e-05,5.5e-06,-0.5,-0.5,0.03,0.0092843,0.05296,nSEG,1,LIDAR,0.009715699999999999,0.14704,0.5113526315789473,0.7352,0.6232763157894736
M3253,1e-05,5.5e-06,-0.5,-0.5,0.035,0.0092696,0.05803,nSEG,1,LIDAR,0.0097304,0.14197,0.5121263157894737,0.70985,0.6109881578947368
M3254,1e-05,5.5e-06,-0.5,-0.5,0.04,0.0092557,0.06282,nSEG,1,LIDAR,0.0097443,0.13718000000000002,0.5128578947368421,0.6859000000000001,0.599378947368421
M3255,1e-05,5.5e-06,-0.5,-0.5,0.05,0.0092299,0.0717,nSEG,1,LIDAR,0.0097701,0.12830000000000003,0.5142157894736843,0.6415000000000001,0.5778578947368422
M3256,1e-05,5.5e-06,-0.5,-0.25,0.02,0.0093292,0.03687,nSEG,1,LIDAR,0.0096708,0.16313,0.5089894736842105,0.81565,0.6623197368421052
M3257,1e-05,5.5e-06,-0.5,-0.25,0.03,0.0092997,0.04694,nSEG,1,LIDAR,0.0097003,0.15306,0.5105421052631579,0.7653,0.6379210526315789
M3258,1e-05,5.5e-06,-0.5,-0.25,0.035,0.0092865,0.05144,nSEG,1,LIDAR,0.0097135,0.14856000000000003,0.5112368421052632,0.7428000000000001,0.6270184210526317
M3259,1e-05,5.5e-06,-0.5,-0.25,0.04,0.009274,0.05569,nSEG,1,LIDAR,0.009726,0.14431,0.5118947368421053,0.7215499999999999,0.6167223684210525
M3260,1e-05,5.5e-06,-0.5,-0.25,0.05,0.0092508,0.06357,nSEG,1,LIDAR,0.0097492,0.13643,0.5131157894736842,0.6821499999999999,0.5976328947368421
M3261,1e-05,5.5e-06,-0.5,0.0,0.02,0.009337,0.03384,nSEG,1,LIDAR,0.009663,0.16616,0.508578947368421,0.8308,0.6696894736842105
M3262,1e-05,5.5e-06,-0.5,0.0,0.03,0.0093096,0.04308,nSEG,1,LIDAR,0.0096904,0.15692,0.5100210526315789,0.7846,0.6473105263157894
M3263,1e-05,5.5e-06,-0.5,0.0,0.035,0.0092973,0.04722,nSEG,1,LIDAR,0.0097027,0.15278000000000003,0.5106684210526315,0.7639000000000001,0.6372842105263159
M3264,1e-05,5.5e-06,-0.5,0.0,0.04,0.0092857,0.05112,nSEG,1,LIDAR,0.0097143,0.14888,0.511278947368421,0.7444000000000001,0.6278394736842106
M3265,1e-05,5.5e-06,-0.5,0.0,0.05,0.0092642,0.05837,nSEG,1,LIDAR,0.0097358,0.14163,0.5124105263157894,0.70815,0.6102802631578947
M3266,1e-05,5.5e-06,-0.5,0.25,0.02,0.0093425,0.03166,nSEG,1,LIDAR,0.0096575,0.16834000000000002,0.5082894736842105,0.8417,0.6749947368421052
M3267,1e-05,5.5e-06,-0.5,0.25,0.03,0.0093167,0.04031,nSEG,1,LIDAR,0.009683299999999999,0.15969,0.5096473684210526,0.79845,0.6540486842105263
M3268,1e-05,5.5e-06,-0.5,0.25,0.035,0.0093051,0.04419,nSEG,1,LIDAR,0.0096949,0.15581,0.5102578947368421,0.77905,0.6446539473684211
M3269,1e-05,5.5e-06,-0.5,0.25,0.04,0.0092941,0.04784,nSEG,1,LIDAR,0.0097059,0.15216000000000002,0.5108368421052631,0.7608,0.6358184210526316
M3270,1e-05,5.5e-06,-0.5,0.25,0.05,0.0092738,0.05462,nSEG,1,LIDAR,0.009726199999999999,0.14538,0.5119052631578948,0.7269,0.6194026315789474
M3271,1e-05,5.5e-06,-0.5,0.5,0.02,0.0093468,0.02998,nSEG,1,LIDAR,0.009653199999999999,0.17002,0.5080631578947368,0.8501,0.6790815789473683
M3272,1e-05,5.5e-06,-0.5,0.5,0.03,0.0093221,0.03818,nSEG,1,LIDAR,0.0096779,0.16182000000000002,0.5093631578947369,0.8091,0.6592315789473684
M3273,1e-05,5.5e-06,-0.5,0.5,0.035,0.0093111,0.04185,nSEG,1,LIDAR,0.0096889,0.15815,0.509942105263158,0.7907500000000001,0.650346052631579
M3274,1e-05,5.5e-06,-0.5,0.5,0.04,0.0093006,0.04531,nSEG,1,LIDAR,0.0096994,0.15469,0.5104947368421053,0.77345,0.6419723684210527
M3275,1e-05,5.5e-06,-0.5,0.5,0.05,0.0092812,0.05174,nSEG,1,LIDAR,0.0097188,0.14826,0.5115157894736843,0.7413,0.6264078947368421
M3276,1e-05,5.5e-06,-0.25,-0.5,0.02,0.0093186,0.04161,nSEG,1,LIDAR,0.0096814,0.15839,0.5095473684210526,0.7919499999999999,0.6507486842105263
M3277,1e-05,5.5e-06,-0.25,-0.5,0.03,0.0092862,0.05296,nSEG,1,LIDAR,0.0097138,0.14704,0.5112526315789474,0.7352,0.6232263157894737
M3278,1e-05,5.5e-06,-0.25,-0.5,0.035,0.0092717,0.05804,nSEG,1,LIDAR,0.009728299999999999,0.14196,0.5120157894736842,0.7098,0.610907894736842
