model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M127,1e-05,5.5e-06,-0.5,-0.5,0.035,0.0058376,0.02878,2SEG,1,GNSS,0.0131624,0.17122,0.6927578947368421,0.8561,0.774428947368421
M128,1e-05,5.5e-06,-0.5,-0.5,0.04,0.0058292,0.03115,2SEG,1,GNSS,0.0131708,0.16885,0.6932,0.84425,0.768725
M129,1e-05,5.5e-06,-0.5,-0.5,0.05,0.0058137,0.03556,2SEG,1,GNSS,0.0131863,0.16444,0.6940157894736843,0.8221999999999999,0.758107894736842
M130,1e-05,5.5e-06,-0.5,-0.5,0.08,0.0057733,0.04695,2SEG,1,GNSS,0.0132267,0.15305000000000002,0.6961421052631579,0.7652500000000001,0.730696052631579
M131,1e-05,5.5e-06,-0.5,-0.25,0.03,0.0058548,0.02327,2SEG,1,GNSS,0.0131452,0.17673,0.6918526315789474,0.8836499999999999,0.7877513157894737
M132,1e-05,5.5e-06,-0.5,-0.25,0.035,0.0058467,0.02551,2SEG,1,GNSS,0.0131533,0.17449,0.6922789473684211,0.87245,0.7823644736842106
M133,1e-05,5.5e-06,-0.5,-0.25,0.04,0.0058391,0.02761,2SEG,1,GNSS,0.0131609,0.17239000000000002,0.6926789473684211,0.86195,0.7773144736842106
M134,1e-05,5.5e-06,-0.5,-0.25,0.05,0.005825,0.03152,2SEG,1,GNSS,0.013175,0.16848000000000002,0.6934210526315789,0.8424,0.7679105263157895
M135,1e-05,5.5e-06,-0.5,-0.25,0.08,0.0057883,0.04163,2SEG,1,GNSS,0.0132117,0.15837,0.6953526315789473,0.79185,0.7436013157894736
M136,1e-05,5.5e-06,-0.5,0.0,0.03,0.0058601,0.02136,2SEG,1,GNSS,0.0131399,0.17864000000000002,0.6915736842105263,0.8932000000000001,0.7923868421052632
M137,1e-05,5.5e-06,-0.5,0.0,0.035,0.0058526,0.02341,2SEG,1,GNSS,0.0131474,0.17659000000000002,0.6919684210526316,0.8829500000000001,0.7874592105263158
M138,1e-05,5.5e-06,-0.5,0.0,0.04,0.0058454,0.02535,2SEG,1,GNSS,0.013154599999999999,0.17465,0.6923473684210526,0.87325,0.7827986842105263
M139,1e-05,5.5e-06,-0.5,0.0,0.05,0.0058322,0.02894,2SEG,1,GNSS,0.0131678,0.17106000000000002,0.6930421052631579,0.8553000000000001,0.774171052631579
M140,1e-05,5.5e-06,-0.5,0.0,0.08,0.0057978,0.03823,2SEG,1,GNSS,0.0132022,0.16177000000000002,0.6948526315789474,0.8088500000000001,0.7518513157894737
M141,1e-05,5.5e-06,-0.5,0.25,0.03,0.005864,0.01998,2SEG,1,GNSS,0.013135999999999998,0.18002,0.6913684210526315,0.9001,0.7957342105263158
M142,1e-05,5.5e-06,-0.5,0.25,0.035,0.0058568,0.0219,2SEG,1,GNSS,0.0131432,0.1781,0.6917473684210527,0.8905,0.7911236842105263
M143,1e-05,5.5e-06,-0.5,0.25,0.04,0.00585,0.02372,2SEG,1,GNSS,0.013149999999999998,0.17628000000000002,0.6921052631578947,0.8814000000000001,0.7867526315789474
M144,1e-05,5.5e-06,-0.5,0.25,0.05,0.0058374,0.02708,2SEG,1,GNSS,0.0131626,0.17292000000000002,0.6927684210526316,0.8646,0.7786842105263159
M145,1e-05,5.5e-06,-0.5,0.25,0.08,0.0058047,0.03578,2SEG,1,GNSS,0.0131953,0.16422,0.6944894736842105,0.8210999999999999,0.7577947368421052
M146,1e-05,5.5e-06,-0.5,0.5,0.03,0.0058669,0.01893,2SEG,1,GNSS,0.013133099999999998,0.18107,0.6912157894736841,0.90535,0.7982828947368421
M147,1e-05,5.5e-06,-0.5,0.5,0.035,0.00586,0.02075,2SEG,1,GNSS,0.013139999999999999,0.17925000000000002,0.691578947368421,0.8962500000000001,0.7939144736842105
M148,1e-05,5.5e-06,-0.5,0.5,0.04,0.0058535,0.02246,2SEG,1,GNSS,0.013146499999999998,0.17754,0.6919210526315789,0.8876999999999999,0.7898105263157894
M149,1e-05,5.5e-06,-0.5,0.5,0.05,0.0058414,0.02565,2SEG,1,GNSS,0.0131586,0.17435,0.692557894736842,0.87175,0.782153947368421
M150,1e-05,5.5e-06,-0.5,0.5,0.08,0.00581,0.03389,2SEG,1,GNSS,0.01319,0.16611,0.6942105263157895,0.83055,0.7623802631578948
M151,1e-05,5.5e-06,-0.25,-0.5,0.03,0.0058486,0.02627,2SEG,1,GNSS,0.0131514,0.17373,0.6921789473684211,0.8686499999999999,0.7804144736842105
