model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M970,0.0001,5.5e-05,0.25,0.08,0.074865,0.3078,nSEG,2,GNSS,-0.055865,-0.1078,2.9402631578947367,0.539,1.7396315789473684
M971,0.0001,5.5e-05,0.5,0.03,0.076354,0.1779,nSEG,2,GNSS,-0.057354,0.02210000000000001,3.0186315789473688,0.11050000000000004,1.5645657894736844
M972,0.0001,5.5e-05,0.5,0.035,0.076214,0.1925,nSEG,2,GNSS,-0.057214,0.007500000000000007,3.011263157894737,0.03750000000000003,1.5243815789473685
M973,0.0001,5.5e-05,0.5,0.04,0.076088,0.2062,nSEG,2,GNSS,-0.057088,-0.006199999999999983,3.0046315789473685,0.030999999999999917,1.5178157894736843
M974,0.0001,5.5e-05,0.5,0.05,0.075814,0.2312,nSEG,2,GNSS,-0.056814,-0.031199999999999978,2.99021052631579,0.1559999999999999,1.5731052631578948
M975,0.0001,5.5e-05,0.5,0.08,0.074941,0.2936,nSEG,2,GNSS,-0.05594099999999999,-0.09360000000000002,2.9442631578947362,0.4680000000000001,1.706131578947368
M976,0.0001,0.0001,-0.5,0.03,0.089641,0.2577,nSEG,2,GNSS,-0.070641,-0.057699999999999974,3.7179473684210524,0.28849999999999987,2.003223684210526
M977,0.0001,0.0001,-0.5,0.035,0.089262,0.2783,nSEG,2,GNSS,-0.07026199999999999,-0.07829999999999998,3.6979999999999995,0.3914999999999999,2.0447499999999996
M978,0.0001,0.0001,-0.5,0.04,0.088956,0.2976,nSEG,2,GNSS,-0.06995599999999999,-0.09759999999999996,3.681894736842105,0.4879999999999998,2.0849473684210524
M979,0.0001,0.0001,-0.5,0.05,0.088893,0.3343,nSEG,2,GNSS,-0.069893,-0.13429999999999997,3.678578947368421,0.6714999999999999,2.1750394736842105
M980,0.0001,0.0001,-0.5,0.08,0.088378,0.4253,nSEG,2,GNSS,-0.069378,-0.2253,3.651473684210526,1.1264999999999998,2.388986842105263
M981,0.0001,0.0001,-0.25,0.03,0.089466,0.2311,nSEG,2,GNSS,-0.070466,-0.03109999999999999,3.7087368421052633,0.15549999999999994,1.9321184210526317
M982,0.0001,0.0001,-0.25,0.035,0.089609,0.2511,nSEG,2,GNSS,-0.07060899999999999,-0.05109999999999998,3.7162631578947365,0.2554999999999999,1.9858815789473683
M983,0.0001,0.0001,-0.25,0.04,0.089335,0.2686,nSEG,2,GNSS,-0.070335,-0.0686,3.701842105263158,0.34299999999999997,2.0224210526315787
M984,0.0001,0.0001,-0.25,0.05,0.088922,0.3008,nSEG,2,GNSS,-0.069922,-0.1008,3.6801052631578948,0.504,2.092052631578947
M985,0.0001,0.0001,-0.25,0.08,0.088576,0.3833,nSEG,2,GNSS,-0.069576,-0.18329999999999996,3.6618947368421053,0.9164999999999998,2.2891973684210525
